video_id,start_frame,end_frame,segment_label,coarse_label,notes
video_18,0,120,browse,calm,foraging with vegetation in mouth
video_18,121,210,browse,calm,continued feeding / low-speed motion
video_18,211,300,walk,calm,slow relocation within area
video_18,301,390,browse,calm,relaxed feeding posture
video_18,391,470,stand,calm,stationary calm finish
video_19,0,120,browse,calm,close-up browsing / feeding
video_19,121,220,browse,calm,steady calm feeding
video_19,221,320,stand,calm,low motion; relaxed posture
video_19,321,420,browse,calm,continued calm feeding
video_19,421,520,calm,calm,calm end segment
video_20,0,120,walk,calm,grassland walking / dust movement
video_20,121,220,walk,calm,steady low-intensity locomotion
video_20,221,320,calm,calm,no clear aggression displayed
video_20,321,420,walk,calm,continued slow movement
video_20,421,520,calm,calm,final calm exit
